id	qrCode	productName	category	brand	modelNumber	serialNumber	rentalPrice
STLR-LMOD-003	STLR-LMOD-003	Standard Reflector ( Bowens Mount)	Light Modifier	Godox 	Standard Reflector	STLLMSR003	1
STLR-LMOD-004	STLR-LMOD-004	Snoot (Bowens Mount)}	Light Modifier	Godox 	Snoot	STLLMSNT001	100
STLR-LMOD-005	STLR-LMOD-005	Parabola 90CM Beauty dish	Light Modifier	 N Glow Pro	Parabola 90	STLPRBLA9001	500
STLR-LMOD-006	STLR-LMOD-006	Parabola 90CM Beauty dish	Light Modifier	 N Glow Pro	Parabola 90	STLPRBLA9002	500
STLR-LMOD-007	STLR-LMOD-007	Octa 85CM 	Light Modifier	Godox 	Octa 85	STLOCTA85001	400
STLR-LMOD-008	STLR-LMOD-008	Parabola 105CM	Light Modifier	Beauty Box	Parabola 105	STLPRBLA10501	500
STLR-LMOD-009	STLR-LMOD-009	Hiffin Magmod	Light Modifier	Hiffin	Magmod	STLHMGMD0101	300
STLR-LMOD-010	STLR-LMOD-010	Hiffin Flash Kit	Light Modifier	Hiffin	Flash Kit	STLHMGMD001	300
STLR-MOD-011	STLR-MOD-011	 Hiffin 5 IN 1 reflector 150*200	Light Modifier	Hiffin	5 in 1 Reflector	STLH51R001	500
STLR-MIC-001	STLR-MIC-001	DJI Mic Mini	Wireless Mic	DJI	DJI Mic Mini	STLDJIMIC001	500
STLR-MIC-002	STLR-MIC-002	DJI Mic Mini	Wireless Mic	DJI	DJI Mic Mini	STLDJIMIC002	500
STLR-MIC-003	STLR-MIC-003	DJI Mic Mini	Wireless Mic	DJI	DJI Mic Mini	STLDJIMIC003	500
